date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:22	437/437	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Aug%202025%2022:27:21%20GMT	https://www.tiagocoffee.com/robots.txt		(from )
20:25:23	169110/169110	---M-Z	200	added ('OK')	text/html	etag:W/%220a0a7b3ca7f3d0776d8e7266ae60c35d--gzip%22	https://www.tiagocoffee.com/	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/index.html	(from )
20:25:23	718/718	---M--	200	added ('OK')	application/rss+xml	etag:W/%222e6ccb13c0ba82482d68257f5ec7fac8%22	https://www.tiagocoffee.com/welcome?format=rss	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/welcomea409	(from https://www.tiagocoffee.com/)
20:25:24	8459/8459	---M--	200	added ('OK')	image/svg+xml	etag:W/%22087a730afb6c750527210e31117f517c%22	https://www.tiagocoffee.com/assets/ui-icons.svg	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/assets/ui-icons.svg	(from https://www.tiagocoffee.com/)
20:25:26	102468/102468	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2000:25:25%20GMT	https://www.tiagocoffee.com/cart	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/cart.html	(from https://www.tiagocoffee.com/)
20:25:27	102279/102279	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Aug%202025%2000:25:26%20GMT	https://www.tiagocoffee.com/search	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/search.html	(from https://www.tiagocoffee.com/)
20:25:27	0/0	---M--	302	error ('Found')	text/html	etag:W/%22d2c1abd7c4b38b93a5309902a9cae36d%22	https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.4.delayed	(from https://www.tiagocoffee.com/)
20:25:28	116216/116216	---M-Z	200	added ('OK')	text/html	etag:W/%22a8b1428e314d38d3f9e5c1aa1210824c%22	https://www.tiagocoffee.com/store	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/store.html	(from https://www.tiagocoffee.com/)
20:25:29	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.6.delayed	(from https://www.tiagocoffee.com/)
20:25:29	0/0	---M--	302	error ('Found')	text/html	etag:W/%22ff1d778c7cc27a9a1c30034cfcf781f5%22	https://www.tiagocoffee.com/get-delivery	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/get-delivery.7.delayed	(from https://www.tiagocoffee.com/)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.8.delayed	(from https://www.tiagocoffee.com/cart)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.9.delayed	(from https://www.tiagocoffee.com/cart)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/get-delivery	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/get-delivery.a.delayed	(from https://www.tiagocoffee.com/cart)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.b.delayed	(from https://www.tiagocoffee.com/search)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.c.delayed	(from https://www.tiagocoffee.com/search)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/get-delivery	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/get-delivery.d.delayed	(from https://www.tiagocoffee.com/search)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.e.delayed	(from https://www.tiagocoffee.com/store)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.pdf	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/s/TiagoMenuMaster_6-6-25-1.f.delayed	(from https://www.tiagocoffee.com/store)
20:25:30	0/-1	---M--	302	error ('')			https://www.tiagocoffee.com/get-delivery	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/get-delivery.10.delayed	(from https://www.tiagocoffee.com/store)
20:25:30	114805/114805	---M-Z	200	added ('OK')	text/html	etag:W/%2220549ec24eac2b71477026f042c5656c--gzip%22	https://www.tiagocoffee.com/store?category=Apparel	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/storea82a.html	(from https://www.tiagocoffee.com/store)
20:25:31	105113/105113	---M-Z	200	added ('OK')	text/html	etag:W/%22528b4eedc1282e981a0910a4679ea146--gzip%22	https://www.tiagocoffee.com/store?category=Coffee	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/store46ef.html	(from https://www.tiagocoffee.com/store)
20:25:32	106607/106607	---M-Z	200	added ('OK')	text/html	etag:W/%22d949f9c2efb4c32344dbc5880251a405--gzip%22	https://www.tiagocoffee.com/store?category=Coffee+Accessories	/Users/mohammadalmusaiteer/Project%20Shawrma-Website%20temp/Websites_nextjs/templates/clone/www.tiagocoffee.com/store424c.html	(from https://www.tiagocoffee.com/store)
